Date,Company_ID,Subscription_Type,Plan_Tier,MRR,ARR,Customer_ID,Customer_Segment,Acquisition_Channel,Churn_Status,Upgrade_Status,Support_Tickets,Feature_Usage_Score,Login_Frequency,Billing_Cycle,Payment_Method,Geographic_Region,Company_Size,Industry,Contract_Length,Discount_Applied,Payment_Status
2024-02-28,COMP-1000,Basic,Growth,103.73,1244.7,CUST-85187,Mid-Market,Referral,Active,Upgraded,0,82,42,Monthly,ACH,Asia Pacific,1-10,Education,Month-to-Month,19,Paid
2024-06-03,COMP-1001,Enterprise,Scale,396.39,4756.65,CUST-51985,SMB,Paid Search,Active,No Change,1,95,10,Quarterly,Wire Transfer,Middle East & Africa,1-10,Manufacturing,Month-to-Month,0,Paid
2024-05-10,COMP-1002,Enterprise,Enterprise,8089.79,97077.45,CUST-21197,Startup,Social Media,Active,No Change,6,62,12,Annual,Credit Card,Europe,201-1000,Finance,36 months,0,Paid
2024-04-24,COMP-1003,Premium,Enterprise,2598.23,31178.73,CUST-82181,SMB,Referral,Active,Upgraded,7,50,13,Monthly,Wire Transfer,Asia Pacific,11-50,Healthcare,Month-to-Month,0,Paid
2024-06-30,COMP-1004,Professional,Scale,733.0,8795.99,CUST-28255,Enterprise,Email Marketing,Active,No Change,3,40,10,Annual,ACH,North America,51-200,Healthcare,12 months,0,Paid
2024-07-31,COMP-1005,Premium,Scale,408.21,4898.5,CUST-48663,Enterprise,Content Marketing,Active,No Change,5,84,22,Quarterly,Wire Transfer,Latin America,11-50,Finance,Month-to-Month,0,Paid
2024-06-09,COMP-1006,Basic,Enterprise,4159.94,49919.28,CUST-81809,Mid-Market,Direct Sales,Active,Upgraded,8,52,12,Annual,Wire Transfer,Europe,201-1000,Real Estate,36 months,0,Paid
2024-06-08,COMP-1007,Professional,Starter,88.17,1058.06,CUST-51611,Enterprise,Organic Search,Active,No Change,2,74,18,Monthly,PayPal,Middle East & Africa,1000+,Education,Month-to-Month,17,Paid
2024-03-01,COMP-1008,Basic,Starter,114.21,1370.57,CUST-35849,Mid-Market,Direct Sales,Active,No Change,0,89,15,Quarterly,Credit Card,North America,201-1000,Manufacturing,Month-to-Month,0,Paid
2024-03-04,COMP-1009,Premium,Starter,448.83,5386.02,CUST-42473,Startup,Organic Search,Active,Upgraded,2,77,40,Quarterly,Wire Transfer,North America,1000+,Education,12 months,0,Paid
