Date,Order_ID,Product_Category,Product_Name,Customer_ID,Customer_Segment,Region,Units_Sold,Unit_Price,Total_Revenue,Cost_of_Goods,Profit_Margin,Marketing_Channel,Customer_Age,Customer_Gender,Return_Status
2024-01-29,ORD-1000,Automotive,Air Freshener,CUST-7778,Budget,North America,3,16.04,48.11,24.82,48.4,Paid Search,31,Male,Completed
2024-01-05,ORD-1001,Books & Media,Biography,CUST-3590,Standard,Asia Pacific,4,188.85,755.38,426.03,43.6,Email Marketing,23,Male,Completed
2024-01-28,ORD-1002,Books & Media,Magazine,CUST-7245,Premium,Europe,4,161.01,644.05,359.05,44.25,Direct,55,Male,Exchanged
2024-01-29,ORD-1003,Toys & Games,Card Game,CUST-2048,Enterprise,North America,1,227.96,227.96,158.8,30.34,Email Marketing,21,Male,Completed
2024-01-30,ORD-1004,Electronics,Samsung Galaxy S24,CUST-2882,Enterprise,Asia Pacific,3,1615.44,4846.31,2012.72,58.47,Email Marketing,39,Female,Completed
2024-01-20,ORD-1005,Electronics,Wireless Mouse,CUST-9978,Premium,Europe,2,1112.22,2224.45,1522.62,31.55,Affiliate,55,Female,Completed
2024-01-24,ORD-1006,Electronics,Wireless Mouse,CUST-4095,Enterprise,Europe,1,2252.22,2252.22,1386.07,38.46,Referral,58,Male,Completed
2024-01-28,ORD-1007,Home & Garden,Garden Tools,CUST-7910,Standard,Middle East & Africa,3,163.25,489.75,316.54,35.37,Social Media,33,Other,Completed
2024-01-31,ORD-1008,Health & Beauty,Makeup Kit,CUST-1294,Budget,Europe,6,45.37,272.21,164.57,39.54,Organic Search,33,Female,Completed
2024-01-08,ORD-1009,Fashion,Sneakers,CUST-3067,Standard,Asia Pacific,5,74.96,374.8,154.42,58.8,Email Marketing,55,Other,Returned
2024-01-23,ORD-1010,Automotive,Seat Covers,CUST-2249,Budget,North America,2,36.06,72.11,50.27,30.29,Paid Search,46,Male,Exchanged
2024-01-18,ORD-1011,Books & Media,Biography,CUST-6636,Premium,Asia Pacific,1,207.64,207.64,88.68,57.29,Affiliate,41,Male,Completed
2024-01-07,ORD-1012,Sports & Outdoors,Dumbbells,CUST-4598,Budget,Middle East & Africa,6,61.48,368.89,196.73,46.67,Affiliate,49,Female,Returned
2024-01-07,ORD-1013,Health & Beauty,Skincare Set,CUST-7520,Budget,Europe,2,67.31,134.62,61.22,54.52,Organic Search,26,Other,Returned
2024-01-30,ORD-1014,Electronics,Samsung Galaxy S24,CUST-2250,Enterprise,Middle East & Africa,1,1339.54,1339.54,808.38,39.65,Direct,37,Female,Completed
2024-01-07,ORD-1015,Books & Media,Art Book,CUST-3511,Premium,North America,1,115.89,115.89,59.09,49.01,Referral,55,Female,Completed
2024-01-03,ORD-1016,Toys & Games,Building Blocks,CUST-9208,Enterprise,Middle East & Africa,3,253.42,760.27,370.05,51.33,Paid Search,36,Female,Completed
2024-01-20,ORD-1017,Books & Media,Biography,CUST-6386,Premium,Middle East & Africa,3,59.0,177.01,93.24,47.32,Referral,54,Male,Completed
2024-01-27,ORD-1018,Sports & Outdoors,Dumbbells,CUST-6023,Premium,Middle East & Africa,4,121.96,487.84,203.42,58.3,Organic Search,28,Male,Returned
2024-01-02,ORD-1019,Automotive,Floor Mats,CUST-7398,Standard,Asia Pacific,1,94.01,94.01,53.13,43.49,Organic Search,44,Female,Completed
2024-02-05,ORD-1020,Books & Media,Fiction Novel,CUST-6766,Budget,Europe,6,142.87,857.22,567.21,33.83,Paid Search,50,Female,Completed
2024-02-23,ORD-1021,Health & Beauty,Vitamins,CUST-1236,Enterprise,North America,4,15.34,61.37,41.23,32.82,Organic Search,46,Male,Completed
2024-02-18,ORD-1022,Health & Beauty,Vitamins,CUST-7917,Enterprise,Asia Pacific,2,12.48,24.95,13.81,44.65,Affiliate,59,Other,Completed
2024-02-17,ORD-1023,Books & Media,Programming Guide,CUST-8036,Budget,Middle East & Africa,4,157.41,629.62,395.43,37.19,Affiliate,44,Female,Completed
2024-02-20,ORD-1024,Health & Beauty,Essential Oils,CUST-9162,Budget,Europe,2,53.34,106.67,65.36,38.73,Referral,54,Male,Completed
2024-02-02,ORD-1025,Fashion,Dress Shirt,CUST-1393,Budget,North America,1,51.67,51.67,34.88,32.49,Social Media,51,Female,Completed
